1, Árvore solitária, Alvo, 1, 13.51252, 6.909091
2, Árvore solitária, Alvo, 0.99, 13.51252, 7.45
3, Árvore solitária, Alvo, 0.95, 13.51252, 7.307693
4, Árvore solitária, Alvo, 0.9, 13.51252, 8.421053
5, Árvore solitária, Alvo, 0.75, 13.51252, 9.692307
6, Árvore solitária, Centro, 1, 13.51252, 6.909091
7, Árvore solitária, Centro, 0.99, 13.51252, 7.227848
8, Árvore solitária, Centro, 0.95, 13.51252, 7.33871
9, Árvore solitária, Centro, 0.9, 13.51252, 8.464286
10, Árvore solitária, Centro, 0.75, 13.54507, 9.92
11, Árvore solitária, Misto, 1, 13.51252, 6.909091
12, Árvore solitária, Misto, 0.99, 13.51252, 7.21519
13, Árvore solitária, Misto, 0.95, 13.51252, 7.571429
14, Árvore solitária, Misto, 0.9, 13.51252, 8.456141
15, Árvore solitária, Misto, 0.75, 13.54507, 9.92
16, Muralha da China, Alvo, 1, 29.51252, 6.076555
17, Muralha da China, Alvo, 0.99, 29.51252, 6.262626
18, Muralha da China, Alvo, 0.95, 29.51252, 7.269231
19, Muralha da China, Alvo, 0.9, 29.51252, 7.018868
20, Muralha da China, Alvo, 0.75, 29.51252, 8.063829
21, Muralha da China, Centro, 1, 29.51252, 6.076555
22, Muralha da China, Centro, 0.99, 29.51252, 7.852174
23, Muralha da China, Centro, 0.95, 29.51252, 7.173077
24, Muralha da China, Centro, 0.9, 29.51252, 8.074468
25, Muralha da China, Centro, 0.75, 29.51252, 9.325301
26, Muralha da China, Misto, 1, 29.51252, 6.076555
27, Muralha da China, Misto, 0.99, 29.51252, 7.834783
28, Muralha da China, Misto, 0.95, 29.51252, 6.971962
29, Muralha da China, Misto, 0.9, 29.51252, 7.989474
30, Muralha da China, Misto, 0.75, 29.51252, 9.325301
31, Pedregulho, Alvo, 1, 25.16842, 8.507246
32, Pedregulho, Alvo, 0.99, 25.16842, 8.542857
33, Pedregulho, Alvo, 0.95, 25.16842, 8.507246
34, Pedregulho, Alvo, 0.9, 25.16842, 8.507246
35, Pedregulho, Alvo, 0.75, 25.16842, 8.507246
36, Pedregulho, Centro, 1, 25.16842, 8.507246
37, Pedregulho, Centro, 0.99, 25.16842, 8.528571
38, Pedregulho, Centro, 0.95, 25.16842, 8.485294
39, Pedregulho, Centro, 0.9, 25.16842, 8.553846
40, Pedregulho, Centro, 0.75, 25.16842, 8.553846
41, Pedregulho, Misto, 1, 25.16842, 8.507246
42, Pedregulho, Misto, 0.99, 25.16842, 8.521739
43, Pedregulho, Misto, 0.95, 25.16842, 8.553846
44, Pedregulho, Misto, 0.9, 25.16842, 8.553846
45, Pedregulho, Misto, 0.75, 25.16842, 8.553846
1, Árvore solitária, Alvo, 1, 13.51252, 6.909091
2, Árvore solitária, Alvo, 0.99, 13.51252, 7.45
3, Árvore solitária, Alvo, 0.95, 13.51252, 7.307693
4, Árvore solitária, Alvo, 0.9, 13.51252, 8.421053
5, Árvore solitária, Alvo, 0.75, 13.51252, 9.692307
6, Árvore solitária, Centro, 1, 13.51252, 6.909091
7, Árvore solitária, Centro, 0.99, 13.51252, 7.227848
8, Árvore solitária, Centro, 0.95, 13.51252, 7.33871
9, Árvore solitária, Centro, 0.9, 13.51252, 8.464286
10, Árvore solitária, Centro, 0.75, 13.54507, 9.92
11, Árvore solitária, Misto, 1, 13.51252, 6.909091
12, Árvore solitária, Misto, 0.99, 13.51252, 7.21519
13, Árvore solitária, Misto, 0.95, 13.51252, 7.571429
14, Árvore solitária, Misto, 0.9, 13.51252, 8.456141
15, Árvore solitária, Misto, 0.75, 13.54507, 9.92
16, Muralha da China, Alvo, 1, 29.51252, 6.076555
17, Muralha da China, Alvo, 0.99, 29.51252, 6.262626
18, Muralha da China, Alvo, 0.95, 29.51252, 7.269231
19, Muralha da China, Alvo, 0.9, 29.51252, 7.018868
20, Muralha da China, Alvo, 0.75, 29.51252, 8.063829
21, Muralha da China, Centro, 1, 29.51252, 6.076555
22, Muralha da China, Centro, 0.99, 29.51252, 7.852174
23, Muralha da China, Centro, 0.95, 29.51252, 7.173077
24, Muralha da China, Centro, 0.9, 29.51252, 8.074468
25, Muralha da China, Centro, 0.75, 29.51252, 9.325301
26, Muralha da China, Misto, 1, 29.51252, 6.076555
27, Muralha da China, Misto, 0.99, 29.51252, 7.834783
28, Muralha da China, Misto, 0.95, 29.51252, 6.971962
29, Muralha da China, Misto, 0.9, 29.51252, 7.989474
30, Muralha da China, Misto, 0.75, 29.51252, 9.325301
31, Pedregulho, Alvo, 1, 25.16842, 8.507246
32, Pedregulho, Alvo, 0.99, 25.16842, 8.542857
33, Pedregulho, Alvo, 0.95, 25.16842, 8.507246
34, Pedregulho, Alvo, 0.9, 25.16842, 8.507246
35, Pedregulho, Alvo, 0.75, 25.16842, 8.507246
36, Pedregulho, Centro, 1, 25.16842, 8.507246
37, Pedregulho, Centro, 0.99, 25.16842, 8.528571
38, Pedregulho, Centro, 0.95, 25.16842, 8.485294
39, Pedregulho, Centro, 0.9, 25.16842, 8.553846
40, Pedregulho, Centro, 0.75, 25.16842, 8.553846
