1, Árvore solitária, Alvo, 0.922263, 20.88071, 13.61111
2, Muralha da China, Alvo, 0.922263, 26.88071, 14.2381
3, Pedregulho, Alvo, 0.922263, 26.08426, 14.07317
1, Árvore solitária, Alvo, 0.9, 20.88071, 13.61111
2, Muralha da China, Alvo, 0.9, 26.88071, 14.2381
3, Pedregulho, Alvo, 0.9, 26.16283, 14.09756
1, Árvore solitária, Alvo, 0.95, 20.88071, 13.61111
2, Muralha da China, Alvo, 0.95, 26.88071, 14.2381
3, Pedregulho, Alvo, 0.95, 24.02476, 9.166667
1, Árvore solitária, Alvo, 0.95, 20.88071, 13.61111
2, Muralha da China, Alvo, 0.95, 26.88071, 14.2381
3, Pedregulho, Alvo, 0.95, 24.02476, 9.166667
1, Árvore solitária, Alvo, 0.99, 19.51252, 7.387755
2, Muralha da China, Alvo, 0.99, 25.55855, 7.927835
3, Pedregulho, Alvo, 0.99, 23.29859, 8.590909
1, Árvore solitária, Alvo, 0.97, 19.7022, 10.33333
2, Muralha da China, Alvo, 0.97, 25.86492, 9.537313
3, Pedregulho, Alvo, 0.97, 23.34462, 8.666667
1, Árvore solitária, Alvo, 0.96, 19.86492, 10.57377
2, Muralha da China, Alvo, 0.96, 26.88071, 14.2381
3, Pedregulho, Alvo, 0.96, 24.37157, 9.454545
1, Árvore solitária, Alvo, 0.96, 19.86492, 10.57377
2, Muralha da China, Alvo, 0.96, 26.88071, 14.2381
3, Pedregulho, Alvo, 0.96, 24.37157, 9.454545
1, Árvore solitária, Alvo, 0.96, 19.60457, 11.86567
2, Muralha da China, Alvo, 0.96, 25.78867, 9.835616
3, Pedregulho, Alvo, 0.96, 23.43666, 8.727273
1, Árvore solitária, Alvo, 0.96, 19.60457, 11.86567
2, Muralha da China, Alvo, 0.96, 25.78867, 9.835616
3, Pedregulho, Alvo, 0.96, 23.43666, 8.727273
1, Árvore solitária, Alvo, 0.96, 19.6506, 8.844156
2, Muralha da China, Alvo, 0.96, 25.55855, 9.109589
3, Pedregulho, Alvo, 0.96, 23.43666, 8.712121
1, Árvore solitária, Alvo, 0.95, 19.78867, 11.86567
2, Muralha da China, Alvo, 0.95, 26.47671, 13.3
3, Pedregulho, Alvo, 0.95, 24.02476, 9.060606
1, Árvore solitária, Alvo, 0.95, 19.78867, 11.86567
2, Muralha da China, Alvo, 0.95, 26.47671, 13.3
3, Pedregulho, Alvo, 0.95, 24.02476, 9.060606
1, Árvore solitária, Alvo, 0.9, 20.96391, 13.74242
2, Muralha da China, Alvo, 0.9, 26.82352, 13.38776
3, Pedregulho, Alvo, 0.9, 26.39853, 13.68085
