1, Pedregulho, Alvo, 0.9, 25.22792, 12.54545
2, Pedregulho, Alvo, 0.9, 25.22792, 12.54545
3, Pedregulho, Alvo, 0.9, 25.22792, 12.54545
4, Pedregulho, Alvo, 0.9, 25.22792, 12.54545
5, Pedregulho, Alvo, 0.9, 25.22792, 12.54545
6, Pedregulho, Alvo, 0.9, 25.22792, 12.54545
7, Pedregulho, Alvo, 0.9, 25.22792, 12.54545
8, Pedregulho, Alvo, 0.9, 25.22792, 12.54545
9, Pedregulho, Alvo, 0.9, 25.22792, 12.54545
10, Pedregulho, Alvo, 0.9, 25.22792, 12.54545
11, Pedregulho, Alvo, 0.9, 25.22792, 12.54545
12, Pedregulho, Alvo, 0.9, 25.22792, 12.54545
13, Pedregulho, Alvo, 0.9, 25.22792, 12.54545
14, Pedregulho, Alvo, 0.9, 25.22792, 12.54545
15, Pedregulho, Alvo, 0.9, 25.22792, 12.54545
16, Pedregulho, Alvo, 0.9, 25.22792, 12.54545
17, Pedregulho, Alvo, 0.9, 25.22792, 12.54545
18, Pedregulho, Alvo, 0.9, 25.22792, 12.54545
19, Pedregulho, Alvo, 0.9, 25.22792, 12.54545
20, Pedregulho, Alvo, 0.9, 25.22792, 12.54545
1, Árvore solitária, , 0.5, 22.2489, 13.61017
2, Muralha da China, , 0.5, 28.38697, 13.93507
3, Pedregulho, , 0.5, 25.42318, 14.65306
4, Árvore solitária, , 0.6, 22.2489, 13.61017
5, Muralha da China, , 0.6, 28.38697, 13.93507
6, Pedregulho, , 0.6, 25.42318, 14.65306
7, Árvore solitária, , 0.75, 22.2489, 13.61017
8, Muralha da China, , 0.75, 28.38697, 13.93507
9, Pedregulho, , 0.75, 25.42318, 14.65306
10, Árvore solitária, , 0.9, 21.27586, 13.66667
11, Muralha da China, , 0.9, 27.3084, 13.86076
12, Pedregulho, , 0.9, 25.22791, 14.23077
13, Árvore solitária, , 0.5, 20.433, 9.946809
14, Muralha da China, , 0.5, 26.62826, 10.85437
15, Pedregulho, , 0.5, 25.22791, 11.73214
16, Árvore solitária, , 0.6, 20.433, 9.946809
17, Muralha da China, , 0.6, 26.62826, 10.85437
18, Pedregulho, , 0.6, 25.22791, 11.73214
19, Árvore solitária, , 0.75, 20.433, 9.946809
20, Muralha da China, , 0.75, 26.62826, 10.85437
21, Pedregulho, , 0.75, 25.22791, 11.73214
22, Árvore solitária, , 0.9, 20.27355, 9.88
23, Muralha da China, , 0.9, 26.41721, 10.92157
24, Pedregulho, , 0.9, 25.22791, 12.27778
25, Árvore solitária, , 0.5, 24.18613, 14.88889
26, Muralha da China, , 0.5, 30.18613, 15.33333
27, Pedregulho, , 0.5, 26.42876, 14.97297
28, Árvore solitária, , 0.6, 24.18613, 14.88889
29, Muralha da China, , 0.6, 30.18613, 15.33333
30, Pedregulho, , 0.6, 26.42876, 14.97297
31, Árvore solitária, , 0.75, 24.18613, 14.88889
32, Muralha da China, , 0.75, 30.18613, 15.33333
33, Pedregulho, , 0.75, 26.42876, 14.97297
34, Árvore solitária, , 0.9, 21.89092, 14.87234
35, Muralha da China, , 0.9, 27.89092, 15.50847
36, Pedregulho, , 0.9, 25.22791, 14.46154
1, Árvore solitária, , 0.5, 22.2489, 13.61017
2, Muralha da China, , 0.5, 28.38697, 13.93507
3, Pedregulho, , 0.5, 25.42318, 14.65306
4, Árvore solitária, , 0.6, 22.2489, 13.61017
5, Muralha da China, , 0.6, 28.38697, 13.93507
6, Pedregulho, , 0.6, 25.42318, 14.65306
7, Árvore solitária, , 0.75, 22.2489, 13.61017
8, Muralha da China, , 0.75, 28.38697, 13.93507
9, Pedregulho, , 0.75, 25.42318, 14.65306
10, Árvore solitária, , 0.9, 21.27586, 13.66667
1, Árvore solitária, , 0.5, 22.2489, 13.61017
2, Muralha da China, , 0.5, 28.38697, 13.93507
3, Pedregulho, , 0.5, 25.42318, 14.65306
4, Árvore solitária, , 0.6, 22.2489, 13.61017
5, Muralha da China, , 0.6, 28.38697, 13.93507
6, Pedregulho, , 0.6, 25.42318, 14.65306
7, Árvore solitária, , 0.75, 22.2489, 13.61017
8, Muralha da China, , 0.75, 28.38697, 13.93507
9, Pedregulho, , 0.75, 25.42318, 14.65306
10, Árvore solitária, , 0.9, 21.27586, 13.66667
11, Muralha da China, , 0.9, 27.3084, 13.86076
12, Pedregulho, , 0.9, 25.22791, 14.23077
13, Árvore solitária, , 0.5, 20.433, 9.946809
14, Muralha da China, , 0.5, 26.62826, 10.85437
15, Pedregulho, , 0.5, 25.22791, 11.73214
16, Árvore solitária, , 0.6, 20.433, 9.946809
17, Muralha da China, , 0.6, 26.62826, 10.85437
18, Pedregulho, , 0.6, 25.22791, 11.73214
19, Árvore solitária, , 0.75, 20.433, 9.946809
20, Muralha da China, , 0.75, 26.62826, 10.85437
21, Pedregulho, , 0.75, 25.22791, 11.73214
22, Árvore solitária, , 0.9, 20.27355, 9.88
23, Muralha da China, , 0.9, 26.41721, 10.92157
24, Pedregulho, , 0.9, 25.22791, 12.27778
25, Árvore solitária, , 0.5, 24.18613, 14.88889
26, Muralha da China, , 0.5, 30.18613, 15.33333
