1; Stress; Alvo; 0,9; 0,75; 92,64828; 10,54897
1; Stress; Alvo; 0,9; 0,75; 96,12704; 10,65753
1; Stress; Alvo; 0,9; 0,75; 92,64828; 10,54897
1; Stress; Alvo; 0,9; 0,75; 92,64828; 10,54897
1; Stress; Alvo; 0,9; 0,75; 92,8784; 10,98091
1; Stress; Alvo; 0,9; 0,75; 92,8784; 10,98091
1; Stress; Alvo; 1; 1; 92,51254; 5,685752
1; Stress; Alvo; 0,9; 0,75; 22,63712; 10,43925
1; Stress; Alvo; 0,9; 0,75; 52,8784; 12,0543
1; Stress; Alvo; 0,9; 0,75; 22,63712; 10,43925
1; Stress; Alvo; 0,9; 0,75; 45,84585; 11,5404
1; Stress; Alvo; 0,9; 0,75; 45,84585; 11,5404
1; Stress; Alvo; 0,9; 0,75; 45,84585; 11,5404
1; Stress; Alvo; 0,9; 0,75; 45,84585; 11,5404
1; Stress; Alvo; 0,9; 0,75; 45,84585; 11,5404
1; Stress; Alvo; 0,9; 0,75; 45,84585; 11,5404
1; Stress; Alvo; 0,9; 0,75; 45,84585; 11,5404
1; Stress; Alvo; 0,9; 0,75; 45,84585; 11,5404
1; Stress; Alvo; 0,9; 0,75; 45,84585; 11,5404
1; Stress; Alvo; 0,9; 0,75; 45,84585; 11,5404
